<<<<<<< HEAD
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.886 0
0.765 1.887 0
0.765 1.887 0
0.764 1.887 0
0.764 1.887 0
0.764 1.887 0
0.763 1.888 0
0.763 1.888 0
0.763 1.888 0
0.763 1.888 0
0.762 1.888 0
0.762 1.889 0
0.761 1.889 0
0.761 1.889 0
0.76 1.889 0
0.76 1.89 0
0.759 1.89 0
0.759 1.89 0
0.759 1.89 0
0.758 1.89 0
0.758 1.89 0
0.758 1.89 0
0.758 1.891 0
0.757 1.891 0
0.757 1.891 0
0.757 1.891 0
0.756 1.891 0
0.756 1.892 0
0.755 1.892 0
0.755 1.892 0
0.755 1.892 0
0.754 1.892 0
0.754 1.893 0
0.753 1.893 0
0.753 1.893 0
0.753 1.893 0
0.752 1.893 0
0.752 1.893 0
0.752 1.894 0
0.751 1.894 0
0.751 1.894 0
0.75 1.894 0
0.75 1.894 0
0.749 1.894 0
0.749 1.895 0
0.748 1.895 0
0.747 1.895 0
0.747 1.895 0
0.746 1.896 0
0.745 1.896 0
0.744 1.896 0
0.744 1.896 0
0.743 1.897 0
0.742 1.897 0
0.741 1.897 0
0.74 1.898 0
0.74 1.898 0
0.739 1.898 0
0.738 1.899 0
0.737 1.899 0
0.736 1.9 0
0.735 1.9 0
0.734 1.9 0
0.733 1.901 0
0.732 1.901 0
0.731 1.902 0
0.73 1.902 0
0.729 1.903 0
0.728 1.904 0
0.727 1.904 0
0.726 1.905 0
0.725 1.906 0
0.724 1.906 0
0.723 1.907 0
0.722 1.908 0
0.72 1.909 0
0.719 1.909 0
0.718 1.91 0
0.717 1.91 0
0.716 1.911 0
0.715 1.912 0
0.714 1.912 0
0.713 1.912 0
0.711 1.913 0
0.71 1.913 0
0.709 1.914 0
0.708 1.914 0
0.707 1.914 0
0.706 1.915 0
0.705 1.915 0
0.704 1.916 0
0.703 1.916 0
0.702 1.916 0
0.701 1.917 0
0.7 1.917 0
0.699 1.917 0
0.698 1.918 0
0.697 1.918 0
0.696 1.919 0
0.696 1.919 0
0.695 1.919 0
0.694 1.92 0
0.693 1.92 0
0.692 1.92 0
0.691 1.921 0
0.69 1.921 0
0.689 1.921 0
0.689 1.922 0
0.688 1.922 0
0.687 1.923 0
0.686 1.923 0
0.685 1.923 0
0.684 1.924 0
0.684 1.924 0
0.683 1.924 0
0.682 1.925 0
0.681 1.925 0
0.68 1.925 0
0.678 1.926 0
0.677 1.926 0
0.676 1.927 0
0.675 1.927 0
0.674 1.927 0
0.673 1.928 0
0.672 1.928 0
0.671 1.929 0
0.669 1.929 0
0.668 1.929 0
0.667 1.93 0
0.666 1.93 0
0.665 1.93 0
0.664 1.931 0
0.663 1.931 0
0.662 1.931 0
0.661 1.932 0
0.66 1.932 0
0.659 1.932 0
0.658 1.933 0
0.658 1.933 0
0.657 1.933 0
0.657 1.933 0
0.656 1.933 0
0.655 1.933 0
0.655 1.933 0
0.654 1.933 0
0.653 1.933 0
0.652 1.933 0
0.652 1.934 0
0.651 1.934 0
0.65 1.934 0
0.649 1.934 0
0.648 1.934 0
0.647 1.934 0
0.646 1.934 0
0.645 1.934 0
0.645 1.934 0
0.644 1.934 0
0.643 1.934 0
0.642 1.934 0
0.64 1.934 0
0.639 1.934 0
0.638 1.934 0
0.637 1.935 0
0.636 1.934 0
0.635 1.934 0
0.634 1.934 0
0.633 1.934 0
0.631 1.934 0
0.63 1.935 0
0.629 1.935 0
0.627 1.935 0
0.626 1.935 0
0.625 1.935 0
0.623 1.935 0
0.622 1.935 0
0.62 1.935 0
0.619 1.935 0
0.617 1.936 0
0.615 1.936 0
0.614 1.936 0
0.612 1.936 0
0.611 1.936 0
0.609 1.936 0
0.608 1.936 0
0.606 1.937 0
0.605 1.937 0
0.603 1.937 0
0.602 1.937 0
0.6 1.937 0
0.599 1.937 0
0.597 1.937 0
0.596 1.937 0
0.594 1.937 0
0.593 1.937 0
0.591 1.937 0
0.59 1.937 0
0.588 1.937 0
0.587 1.937 0
0.586 1.937 0
0.585 1.937 0
0.583 1.937 0
0.582 1.937 0
0.58 1.937 0
0.579 1.937 0
0.577 1.937 0
0.575 1.937 0
0.574 1.937 0
0.572 1.937 0
0.57 1.937 0
0.569 1.937 0
0.567 1.937 0
0.565 1.937 0
0.564 1.937 0
